grade,term_months,N,m1_mean,m1_median,m2_mean,m2_median,m3_mean,m3_median
A,36.0,70132,0.016381771657168278,0.027444933175255093,0.014125704211462739,0.027420970354662733,0.014521597238050568,0.026558307590757946
A,60.0,3204,0.01911869810583115,0.031165949739559995,0.01646097309654597,0.031149925473070383,0.017501538172861406,0.030634286058648263
B,36.0,91783,0.015270135781519879,0.038552953268594425,0.010096999246802704,0.038510935672019464,0.012091917596087786,0.037637482869974814
B,60.0,25823,0.017306976763169057,0.0375935590929084,0.011975527529258834,0.03753788617887066,0.014501683795444663,0.03701861015328611
C,36.0,77457,0.008406557848647552,0.051946030756673034,-0.001032405075749208,0.05178265881690236,0.0033314436748159205,0.05092132476683786
C,60.0,43110,0.013212351641721952,0.04513699923655001,0.004540817182661868,0.0447957371778297,0.008885105431857814,0.04434851835367859
D,36.0,32740,5.382228211800191e-05,0.05763368981538475,-0.01412742236074232,0.05697752942791623,-0.007029235728247704,0.05622906678870576
D,60.0,29914,0.003365902860353746,0.04499520020740477,-0.009826880169139744,0.043860529539763715,-0.0028864497956105914,0.04363391066429345
E,36.0,9450,-0.012082170526166742,0.05610886499097589,-0.03113003722124309,0.05481565975361946,-0.021212941709432276,0.05439310998027036
E,60.0,25498,-0.004984247561736296,0.03611526909392515,-0.02207808217760392,0.03379044553083177,-0.012792261540481457,0.03387101036416207
F,36.0,1363,-0.02867604852066643,0.044708477300352545,-0.05575587977643019,0.03961685552590288,-0.04099687141395367,0.04107287816854721
F,60.0,8454,-0.018824455675670596,0.023385982543034922,-0.04185202673165403,0.01832247110456542,-0.028845803275228926,0.019517591044734384
G,36.0,248,-0.04427213227726523,0.03564671930745977,-0.08213497912304296,0.03267760192491076,-0.06086475466644907,0.031807611957975546
G,60.0,1919,-0.03129299940210381,0.01389227364252843,-0.05854773343168036,0.008079221220423705,-0.042955008632454765,0.009029440982005976
